imagen,metodo,detecciones,tiempo
imagen_1,HOG,3,1.485243320465088
imagen_1,HAAR,2,0.11685538291931152
imagen_1,MTCNN,1,1.125948429107666
imagen_2,HOG,2,0.8836669921875
imagen_2,HAAR,1,0.10577130317687988
imagen_2,MTCNN,1,0.5292625427246094
imagen_3,HOG,3,0.8358204364776611
imagen_3,HAAR,2,0.10738301277160645
imagen_3,MTCNN,1,0.5029652118682861
imagen_4,HOG,4,0.8482966423034668
imagen_4,HAAR,1,0.1075279712677002
imagen_4,MTCNN,1,0.4764058589935303
imagen_5,HOG,3,0.644275426864624
imagen_5,HAAR,1,0.057607412338256836
imagen_5,MTCNN,1,0.40408849716186523
imagen_6,HOG,6,0.46822118759155273
imagen_6,HAAR,1,0.07010507583618164
imagen_6,MTCNN,1,0.377347469329834
imagen_7,HOG,1,0.8522613048553467
imagen_7,HAAR,1,0.11051058769226074
imagen_7,MTCNN,1,0.5312261581420898
imagen_8,HOG,0,0.13631153106689453
imagen_8,HAAR,4,0.044057607650756836
imagen_8,MTCNN,1,0.2961246967315674
imagen_9,HOG,3,0.6722891330718994
imagen_9,HAAR,1,0.10161447525024414
imagen_9,MTCNN,2,0.4844048023223877
imagen_10,HOG,2,0.08568263053894043
imagen_10,HAAR,0,0.035004377365112305
imagen_10,MTCNN,1,0.2483835220336914
imagen_11,HOG,1,0.12220263481140137
imagen_11,HAAR,1,0.04265165328979492
imagen_11,MTCNN,1,0.2652747631072998
imagen_12,HOG,4,1.096215009689331
imagen_12,HAAR,1,0.13680171966552734
imagen_12,MTCNN,1,0.6042475700378418
imagen_13,HOG,6,1.832242488861084
imagen_13,HAAR,1,0.18208050727844238
imagen_13,MTCNN,1,0.8029775619506836
imagen_14,HOG,3,1.2654592990875244
imagen_14,HAAR,2,0.14385437965393066
imagen_14,MTCNN,2,1.260563611984253
imagen_15,HOG,6,1.2455620765686035
imagen_15,HAAR,2,0.10881614685058594
imagen_15,MTCNN,1,0.6085395812988281
imagen_16,HOG,3,0.45177435874938965
imagen_16,HAAR,2,0.0539705753326416
imagen_16,MTCNN,1,0.3355891704559326
imagen_17,HOG,4,0.46901726722717285
imagen_17,HAAR,1,0.05510759353637695
imagen_17,MTCNN,1,0.3406717777252197
imagen_18,HOG,1,0.30512094497680664
imagen_18,HAAR,0,0.06522321701049805
imagen_18,MTCNN,1,0.3603403568267822
imagen_19,HOG,2,0.4515397548675537
imagen_19,HAAR,2,0.0511469841003418
imagen_19,MTCNN,1,0.37098121643066406
imagen_20,HOG,3,0.4593689441680908
imagen_20,HAAR,3,0.05989265441894531
imagen_20,MTCNN,1,0.370469331741333
imagen_21,HOG,1,0.46832942962646484
imagen_21,HAAR,2,0.06310439109802246
imagen_21,MTCNN,1,0.6909782886505127
imagen_22,HOG,0,0.13607192039489746
imagen_22,HAAR,1,0.04552006721496582
imagen_22,MTCNN,1,0.2902393341064453
imagen_23,HOG,3,0.09762096405029297
imagen_23,HAAR,2,0.03500986099243164
imagen_23,MTCNN,1,0.2466723918914795
imagen_24,HOG,4,0.16368865966796875
imagen_24,HAAR,1,0.0444643497467041
imagen_24,MTCNN,1,0.3225741386413574
imagen_25,HOG,4,0.4018254280090332
imagen_25,HAAR,1,0.0537872314453125
imagen_25,MTCNN,1,0.3703761100769043
imagen_26,HOG,5,0.3465914726257324
imagen_26,HAAR,1,0.0545499324798584
imagen_26,MTCNN,1,0.39049434661865234
imagen_27,HOG,7,0.8712396621704102
imagen_27,HAAR,1,0.10951113700866699
imagen_27,MTCNN,1,0.5499467849731445
imagen_28,HOG,0,0.36018848419189453
imagen_28,HAAR,2,0.06341314315795898
imagen_28,MTCNN,1,0.5065464973449707
imagen_29,HOG,7,1.3344926834106445
imagen_29,HAAR,2,0.15312623977661133
imagen_29,MTCNN,1,0.741645336151123
imagen_30,HOG,15,1.0727670192718506
imagen_30,HAAR,3,0.12714028358459473
imagen_30,MTCNN,1,0.6037673950195312
imagen_31,HOG,1,1.4434700012207031
imagen_31,HAAR,3,0.12612581253051758
imagen_31,MTCNN,1,0.6305651664733887
imagen_32,HOG,1,0.4756138324737549
imagen_32,HAAR,2,0.05690312385559082
imagen_32,MTCNN,1,0.390592098236084
imagen_33,HOG,1,0.1600358486175537
imagen_33,HAAR,1,0.04200625419616699
imagen_33,MTCNN,1,0.34811925888061523
imagen_34,HOG,4,0.3552558422088623
imagen_34,HAAR,1,0.05400228500366211
imagen_34,MTCNN,1,0.4423196315765381
imagen_35,HOG,2,0.39519762992858887
imagen_35,HAAR,3,0.0590054988861084
imagen_35,MTCNN,1,0.5457487106323242
imagen_36,HOG,5,0.46483445167541504
imagen_36,HAAR,1,0.061516523361206055
imagen_36,MTCNN,1,0.5486979484558105
imagen_37,HOG,7,0.47444939613342285
imagen_37,HAAR,3,0.06354689598083496
imagen_37,MTCNN,1,0.507622480392456
imagen_38,HOG,5,0.26829004287719727
imagen_38,HAAR,1,0.040195465087890625
imagen_38,MTCNN,1,0.323164701461792
imagen_39,HOG,2,0.13716793060302734
imagen_39,HAAR,1,0.04393172264099121
imagen_39,MTCNN,1,0.4143955707550049
imagen_40,HOG,1,0.23510169982910156
imagen_40,HAAR,1,0.049704551696777344
imagen_40,MTCNN,1,0.2876875400543213
imagen_41,HOG,2,0.21511411666870117
imagen_41,HAAR,2,0.04189801216125488
imagen_41,MTCNN,1,0.4288816452026367
imagen_42,HOG,11,0.25652480125427246
imagen_42,HAAR,1,0.044818878173828125
imagen_42,MTCNN,1,0.3002316951751709
imagen_43,HOG,0,0.217667818069458
imagen_43,HAAR,1,0.07952642440795898
imagen_43,MTCNN,1,0.3837776184082031
imagen_44,HOG,5,0.37900280952453613
imagen_44,HAAR,1,0.07202386856079102
imagen_44,MTCNN,1,0.5403761863708496
imagen_45,HOG,4,0.34856247901916504
imagen_45,HAAR,1,0.05918240547180176
imagen_45,MTCNN,1,0.35396265983581543
imagen_46,HOG,1,0.5432384014129639
imagen_46,HAAR,1,0.05910205841064453
imagen_46,MTCNN,1,0.3679776191711426
imagen_47,HOG,3,0.6062631607055664
imagen_47,HAAR,2,0.06389260292053223
imagen_47,MTCNN,1,0.3399202823638916
imagen_48,HOG,1,0.25356245040893555
imagen_48,HAAR,2,0.044040679931640625
imagen_48,MTCNN,1,0.4202749729156494
imagen_49,HOG,3,0.11420679092407227
imagen_49,HAAR,1,0.0350039005279541
imagen_49,MTCNN,1,0.24086236953735352
imagen_50,HOG,5,0.15749907493591309
imagen_50,HAAR,1,0.038626670837402344
imagen_50,MTCNN,1,0.31499791145324707
imagen_51,HOG,4,0.534517765045166
imagen_51,HAAR,2,0.05391335487365723
imagen_51,MTCNN,1,0.3448026180267334
imagen_52,HOG,5,0.5956165790557861
imagen_52,HAAR,1,0.05252432823181152
imagen_52,MTCNN,1,0.33822059631347656
imagen_53,HOG,3,0.17426395416259766
imagen_53,HAAR,2,0.038614511489868164
imagen_53,MTCNN,1,0.4305901527404785
imagen_54,HOG,2,0.25244760513305664
imagen_54,HAAR,1,0.040752410888671875
imagen_54,MTCNN,1,0.31488919258117676
